af-south-1, ami-09e317a1fec5e10f3, FortiGate-VMARM64-AWS, build0601, 7.0.14, GA
af-south-1, ami-09e317a1fec5e10f3, FortiGate-VMARM64-AWS, build0601, 7.0.14, GA
af-south-1, ami-09f3a5b45092bd80d, FortiGate-VMARM64-AWSONDEMAND, build2573, 7.4.3, GA
af-south-1, ami-09f3a5b45092bd80d, FortiGate-VMARM64-AWSONDEMAND, build2573, 7.4.3, GA
af-south-1, ami-0a590892686408551, FortiGate-VM64-AWS, build1577, 7.2.7, GA
af-south-1, ami-0a590892686408551, FortiGate-VM64-AWS, build1577, 7.2.7, GA
af-south-1, ami-0a5afa2ff40a28e3c, FortiGate-VMARM64-AWSONDEMAND, build0601, 7.0.14, GA
af-south-1, ami-0a5afa2ff40a28e3c, FortiGate-VMARM64-AWSONDEMAND, build0601, 7.0.14, GA
af-south-1, ami-0a9c1345c69aa118e, FortiGate-VMARM64-AWS, build0566, 7.0.13, GA
af-south-1, ami-0a9c1345c69aa118e, FortiGate-VMARM64-AWS, build0566, 7.0.13, GA
af-south-1, ami-0b71674cd82a00588, FortiGate-VMARM64-AWSONDEMAND, build1639, 7.2.8, GA
af-south-1, ami-0b952defb07af3529, FortiGate-VMARM64-AWS, build1639, 7.2.8, GA
af-south-1, ami-0be9af3b721f8c959, FortiGate-VM64-AWS, build2662, 7.4.4, GA
af-south-1, ami-0cbdc1f05fac9225f, FortiGate-VM64-AWSONDEMAND, build0566, 7.0.13, GA
af-south-1, ami-0cbdc1f05fac9225f, FortiGate-VM64-AWSONDEMAND, build0566, 7.0.13, GA
af-south-1, ami-0db46491bc62a208a, FortiGate-VM64-AWS, build1575, 7.2.6, GA
af-south-1, ami-0db46491bc62a208a, FortiGate-VM64-AWS, build1575, 7.2.6, GA
af-south-1, ami-0dc79173a968d57dd, FortiGate-VMARM64-AWS, build1639, 7.2.8, GA
af-south-1, ami-0dec21d30709b60d6, FortiGate-VM64-AWS, build2463, 7.4.1, GA
af-south-1, ami-0dec21d30709b60d6, FortiGate-VM64-AWS, build2463, 7.4.1, GA
af-south-1, ami-0e05393a3f007d204, FortiGate-VMARM64-AWS, build1396, 7.2.4, GA
af-south-1, ami-0e05393a3f007d204, FortiGate-VMARM64-AWS, build1396, 7.2.4, GA
af-south-1, ami-0e05393a3f007d204, FortiGate-VMARM64-AWS, build1396, 7.2.4, GA
af-south-1, ami-0e7f581cd4727201f, FortiGate-VM64-AWSONDEMAND, build2093, 6.4.14, GA
af-south-1, ami-0e7f581cd4727201f, FortiGate-VM64-AWSONDEMAND, build2093, 6.4.14, GA
af-south-1, ami-0e8b49cc6c643c96c, FortiGate-VMARM64-AWSONDEMAND, build0566, 7.0.13, GA
af-south-1, ami-0e8b49cc6c643c96c, FortiGate-VMARM64-AWSONDEMAND, build0566, 7.0.13, GA
af-south-1, ami-0e9138af5565c6ea0, FortiGate-VM64-AWS, build1639, 7.2.8, GA
af-south-1, ami-0ec09783b2fc525d6, FortiGate-VMARM64-AWS, build2573, 7.4.3, GA
af-south-1, ami-0ec09783b2fc525d6, FortiGate-VMARM64-AWS, build2573, 7.4.3, GA
af-south-1, ami-0f027aa66394b3e3b, FortiGate-VM64-AWSONDEMAND, build1517, 7.2.5, GA
af-south-1, ami-0f027aa66394b3e3b, FortiGate-VM64-AWSONDEMAND, build1517, 7.2.5, GA
af-south-1, ami-0f693e7d1bf908095, FortiGate-VMARM64-AWS, build2662, 7.4.4, GA
af-south-1, ami-0f710101fec4e5a58, FortiGate-VMARM64-AWS, build2463, 7.4.1, GA
af-south-1, ami-0f710101fec4e5a58, FortiGate-VMARM64-AWS, build2463, 7.4.1, GA
af-south-1, ami-0f92800bf0cd1262e, FortiGate-VM64-AWS, build0632, 7.0.15, GA
ap-east-1, ami-00126aae5e7754e94, FortiGate-VMARM64-AWSONDEMAND, build1577, 7.2.7, GA
ap-east-1, ami-00126aae5e7754e94, FortiGate-VMARM64-AWSONDEMAND, build1577, 7.2.7, GA
ap-east-1, ami-00cd1b0e249b28fef, FortiGate-VM64-AWS, build2095, 6.4.15, GA
ap-east-1, ami-00cd1b0e249b28fef, FortiGate-VM64-AWS, build2095, 6.4.15, GA
ap-east-1, ami-00d2f7fe58f84bb25, FortiGate-VM64-AWSONDEMAND, build2463, 7.4.1, GA
ap-east-1, ami-00d2f7fe58f84bb25, FortiGate-VM64-AWSONDEMAND, build2463, 7.4.1, GA
ap-east-1, ami-0153a514558e966e9, FortiGate-VM64-AWSONDEMAND, build2092, 6.4.13, GA
ap-east-1, ami-0153a514558e966e9, FortiGate-VM64-AWSONDEMAND, build2092, 6.4.13, GA
ap-east-1, ami-015eebdd0ff80b72c, FortiGate-VM64-AWSONDEMAND, build2095, 6.4.15, GA
ap-east-1, ami-015eebdd0ff80b72c, FortiGate-VM64-AWSONDEMAND, build2095, 6.4.15, GA
ap-east-1, ami-017b9663055d4e356, FortiGate-VMARM64-AWSONDEMAND, build2662, 7.4.4, GA
ap-east-1, ami-0229a03bbc859e264, FortiGate-VMARM64-AWS, build1575, 7.2.6, GA
ap-east-1, ami-0229a03bbc859e264, FortiGate-VMARM64-AWS, build1575, 7.2.6, GA
ap-east-1, ami-02715c909653321f8, FortiGate-VM64-AWS, build2093, 6.4.14, GA
ap-east-1, ami-02715c909653321f8, FortiGate-VM64-AWS, build2093, 6.4.14, GA
ap-east-1, ami-02bcdd52c6bac97cb, FortiGate-VM64-AWSONDEMAND, build0523, 7.0.12, GA
ap-east-1, ami-02bcdd52c6bac97cb, FortiGate-VM64-AWSONDEMAND, build0523, 7.0.12, GA
ap-east-1, ami-03a7f6b81687e5b51, FortiGate-VM64-AWS, build0566, 7.0.13, GA
ap-east-1, ami-03a7f6b81687e5b51, FortiGate-VM64-AWS, build0566, 7.0.13, GA
ap-east-1, ami-03c09b0222bf446af, FortiGate-VMARM64-AWS, build0632, 7.0.15, GA
ap-east-1, ami-03e37a401a4386b47, FortiGate-VM64-AWS, build2092, 6.4.13, GA
ap-east-1, ami-03e37a401a4386b47, FortiGate-VM64-AWS, build2092, 6.4.13, GA
ap-east-1, ami-0415c44c3cd656a28, FortiGate-VM64-AWS, build2573, 7.4.3, GA
ap-east-1, ami-0415c44c3cd656a28, FortiGate-VM64-AWS, build2573, 7.4.3, GA
ap-east-1, ami-045d9c2ca71a70967, FortiGate-VM64-AWS, build0523, 7.0.12, GA
ap-east-1, ami-045d9c2ca71a70967, FortiGate-VM64-AWS, build0523, 7.0.12, GA
